Tarih;Eth Miktarı;Eth Farkı;TL Farkı;Hesaptaki Miktar;Açıklamalar;;;;
24.07.2021 00:00 *;0.01713 Eth;0.00788;141.94TL;301.55TL;;290MH;;;
25.07.2021 00:00 *;0.02446 Eth;0.00733;148.34TL;449.89TL;;290MH;;;
26.07.2021 00:00 *;0.03230 Eth;0.00784;147.15TL;597.04TL;;290MH;;;
27.07.2021 00:00 *;0.03930 Eth;0.00700;163.25TL;760.29TL;;290MH;;;
28.07.2021 00:00 *;0.04672 Eth;0.00742;137.63TL;897.92TL;;290MH;;;
29.07.2021 00:00 *;0.05663 Eth;0.00991;214.09TL;1112.01TL;;290MH;;;
30.07.2021 00:00 *;0.06322 Eth;0.00659;135.54TL;1247.55TL;;150MH;;;
31.07.2021 00:00 *;0.06957 Eth;0.00635;178.03TL;1425.58TL;;150MH;;;
01.08.2021 00:00 *;0.07534 Eth;0.00577;190.61TL;1616.19TL;;150MH;;;
02.08.2021 00:00 *;0.08245 Eth;0.00711;234.59TL;1850.78TL;;150MH;;;
03.08.2021 00:00 *;0.08738 Eth;0.00493;57.62TL;1908.40TL;;100MH;;;
04.08.2021 00:00 *;0.09597 Eth;0.00859;99.07TL;2007.47TL;;290MH;;;
04.08.2021 12:00 *;0.00000 Eth;;;0.00TL;Bu tarihte 0.1Eth (2078TL) hesaba yattı. ;290MH;12.638TL;;
05.08.2021 00:00 *;0.00416 Eth;0.00416;95.68TL;95.68TL;;290MH;;;
06.08.2021 00:00 *;0.01265 Eth;0.00849;207.75TL;303.43TL;;290MH;;;
07.08.2021 00:00 *;0.01982 Eth;0.00717;192.31TL;495.74TL;;290MH;;;
08.08.2021 00:00 *;0.02678 Eth;0.00696;224.07TL;719.81TL;;290MH;;;
09.08.2021 00:00 *;0.03382 Eth;0.00704;154.48TL;874.29TL;;290MH;;;
10.08.2021 00:00 *;0.04037 Eth;0.00655;208.34TL;1082.63TL;;100MH;;;
11.08.2021 00:00 *;0.04726 Eth;0.00689;203.81TL;1286.44TL;;290MH;;;
11.08.2021 10:00 *;0.00000 Eth;;;0.00TL;Bu tarihte 0.05Eth (1359TL) hesaba yattı. ;290MH;13.997TL;;
12.08.2021 00:00 *;0.00443 Eth;0.00443;124.22TL;124.22TL;;290MH;;;
13.08.2021 00:00 *;0.01056 Eth;0.00613;152.48TL;276.70TL;;290MH;;;
14.08.2021 00:00 *;0.01766 Eth;0.00710;217.56TL;494.26TL;;290MH;;;
15.08.2021 00:00 *;0.02559 Eth;0.00793;216.98TL;711.24TL;;290MH;;;
16.08.2021 00:00 *;0.03273 Eth;0.00714;201.72TL;912.96TL;;290MH;;;
17.08.2021 00:00 *;0.03980 Eth;0.00707;163.50TL;1076.46TL;;290MH;;;
18.08.2021 00:00 *;0.04626 Eth;0.00646;115.06TL;1191.52TL;;290MH;;;
18.08.2021 15:00 *;0.00000 Eth;;;0.00TL;Bu tarihte 0.05Eth (1278TL) hesaba yattı.;290MH;15.275TL;;
19.08.2021 00:00 *;0.00278 Eth;0.00278;71.09TL;71.09TL;;290MH;;;
20.08.2021  00:00 *;0.01056 Eth;0.00778;211.29TL;282.38TL;;290MH;;;
21.08.2021 00:00 *;0.01728 Eth;0.00672;200.77TL;483.15TL;;290MH;;;
22.08.2021 00:00 *;0.02366 Eth;0.00638;172.52TL;655.67TL;;290MH;;;
23.08.2021 00:00 *;0.02982 Eth;0.00616;142.83TL;798.50TL;;290MH;;;
24.08.2021 00:00 *;0.03649 Eth;0.00667;176.36TL;1024.36TL;;290MH;;;
25.08.2021 00:00 *;0.04318 Eth;0.00669;139.25TL;1163.61TL;;290MH;;;
26.08.2021 00:00 *;0.04920 Eth;0.00602;160.50TL;1324.11TL;;290MH;;;
